year,city1,city2,fare,state1,state2
2021,Albuquerque,Boston,324.97,NM,MA (Metropolitan Area)
2021,Albuquerque,Boston,315.9,NM,MA (Metropolitan Area)
2021,Albuquerque,Boston,329.22,NM,MA (Metropolitan Area)
2021,Albuquerque,Washington,255.89,NM,DC (Metropolitan Area)
2021,Albuquerque,Washington,291.16,NM,DC (Metropolitan Area)
2021,Albuquerque,Washington,343.58,NM,DC (Metropolitan Area)
2021,Albuquerque,Chicago,231.66,NM,IL
2021,Albuquerque,Chicago,241.25,NM,IL
2021,Albuquerque,New York City,342.13,NM,NY (Metropolitan Area)
2021,Albuquerque,New York City,356.92,NM,NY (Metropolitan Area)
2021,Albuquerque,New York City,240.1,NM,NY (Metropolitan Area)
2021,Albuquerque,New York City,251.78,NM,NY (Metropolitan Area)
2021,Albuquerque,New York City,295.22,NM,NY (Metropolitan Area)
2021,Albuquerque,New York City,427.5,NM,NY (Metropolitan Area)
2021,Albuquerque,San Francisco,194.36,NM,CA (Metropolitan Area)
2021,Albuquerque,San Francisco,246.07,NM,CA (Metropolitan Area)
2021,Albuquerque,San Francisco,209.22,NM,CA (Metropolitan Area)
2021,Albuquerque,Los Angeles,205.45,NM,CA (Metropolitan Area)
2021,Albuquerque,Los Angeles,172.93,NM,CA (Metropolitan Area)
2021,Albuquerque,Los Angeles,201.28,NM,CA (Metropolitan Area)
2021,Albuquerque,Los Angeles,212.31,NM,CA (Metropolitan Area)
2021,Albuquerque,Los Angeles,222.87,NM,CA (Metropolitan Area)
2021,Nantucket,New York City,165.27,MA,NY (Metropolitan Area)
2021,Nantucket,New York City,189.08,MA,NY (Metropolitan Area)
2021,Nantucket,New York City,156.66,MA,NY (Metropolitan Area)
2021,Nantucket,New York City,157.09,MA,NY (Metropolitan Area)
2021,Colorado Springs,Washington,251.59,CO,DC (Metropolitan Area)
2021,Colorado Springs,Washington,278.14,CO,DC (Metropolitan Area)
2021,Colorado Springs,Washington,301.82,CO,DC (Metropolitan Area)
2021,Colorado Springs,Los Angeles,183.97,CO,CA (Metropolitan Area)
2021,Colorado Springs,Los Angeles,203.47,CO,CA (Metropolitan Area)
2021,Colorado Springs,Los Angeles,143.75,CO,CA (Metropolitan Area)
2021,Colorado Springs,Los Angeles,188.22,CO,CA (Metropolitan Area)
2021,Colorado Springs,Los Angeles,200.83,CO,CA (Metropolitan Area)
2021,Dallas/Fort Worth,Denver,134.1,TX,CO
2021,Dallas/Fort Worth,Denver,134.51,TX,CO
2021,Dallas/Fort Worth,Seattle,193.65,TX,WA
2021,Dallas/Fort Worth,Seattle,215.53,TX,WA
2021,Dallas/Fort Worth,Nashville,157.21,TX,TN
2021,Dallas/Fort Worth,Nashville,172.04,TX,TN
2021,Dallas/Fort Worth,Washington,176.22,TX,DC (Metropolitan Area)
2021,Dallas/Fort Worth,Washington,202.77,TX,DC (Metropolitan Area)
2021,Dallas/Fort Worth,Washington,226.73,TX,DC (Metropolitan Area)
2021,Dallas/Fort Worth,Washington,181.97,TX,DC (Metropolitan Area)
2021,Dallas/Fort Worth,Washington,252.24,TX,DC (Metropolitan Area)
2021,Dallas/Fort Worth,Washington,248.61,TX,DC (Metropolitan Area)
2021,Dallas/Fort Worth,New York City,219.33,TX,NY (Metropolitan Area)
2021,Dallas/Fort Worth,New York City,230.18,TX,NY (Metropolitan Area)
2021,Dallas/Fort Worth,New York City,179.65,TX,NY (Metropolitan Area)
2021,Dallas/Fort Worth,New York City,185.84,TX,NY (Metropolitan Area)
2021,Dallas/Fort Worth,New York City,169.62,TX,NY (Metropolitan Area)
2021,Dallas/Fort Worth,New York City,201.73,TX,NY (Metropolitan Area)
2021,Dallas/Fort Worth,New York City,277.56,TX,NY (Metropolitan Area)
2021,Dallas/Fort Worth,New York City,295.83,TX,NY (Metropolitan Area)
2021,Dallas/Fort Worth,New York City,192.11,TX,NY (Metropolitan Area)
2021,Dallas/Fort Worth,New York City,204.68,TX,NY (Metropolitan Area)
2021,Dallas/Fort Worth,New York City,225.21,TX,NY (Metropolitan Area)
2021,Dallas/Fort Worth,Las Vegas,170.82,TX,NV
2021,Dallas/Fort Worth,Las Vegas,183.07,TX,NV
2021,Dallas/Fort Worth,San Francisco,187.84,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,San Francisco,206.97,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,San Francisco,204.27,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,San Francisco,157.63,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,San Francisco,229.36,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,San Francisco,267.73,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,Los Angeles,171.31,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,Los Angeles,148.72,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,Los Angeles,143.98,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,Los Angeles,181.88,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,Los Angeles,209.29,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,Los Angeles,216.01,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,Los Angeles,165.93,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,Los Angeles,174.28,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,Los Angeles,186.26,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,Los Angeles,237.59,TX,CA (Metropolitan Area)
2021,Dallas/Fort Worth,New Orleans,124.38,TX,LA
2021,Dallas/Fort Worth,New Orleans,137.7,TX,LA
2021,Dallas/Fort Worth,San Diego,193.13,TX,CA
2021,Dallas/Fort Worth,San Diego,218.41,TX,CA
2021,Dallas/Fort Worth,Portland,215.43,TX,OR
2021,Dallas/Fort Worth,Portland,227.64,TX,OR
2021,Pittsburgh,San Francisco,297.78,PA,CA (Metropolitan Area)
2021,Pittsburgh,San Francisco,361.78,PA,CA (Metropolitan Area)
2021,Pittsburgh,San Francisco,321.69,PA,CA (Metropolitan Area)
2021,Huntsville,Washington,270.79,AL,DC (Metropolitan Area)
2021,Huntsville,Washington,274.03,AL,DC (Metropolitan Area)
2021,Huntsville,Washington,244.29,AL,DC (Metropolitan Area)
2021,Albany,Washington,173.61,NY,DC (Metropolitan Area)
2021,Albany,Washington,210.15,NY,DC (Metropolitan Area)
2021,Albany,Washington,216.55,NY,DC (Metropolitan Area)
2021,Albany,Chicago,192.16,NY,IL
2021,Albany,Chicago,242.4,NY,IL
2021,Albany,Los Angeles,308.06,NY,CA (Metropolitan Area)
2021,Albany,Los Angeles,400.71,NY,CA (Metropolitan Area)
2021,Albany,Los Angeles,289.46,NY,CA (Metropolitan Area)
2021,Albany,Los Angeles,317.85,NY,CA (Metropolitan Area)
2021,Albany,Los Angeles,391.8,NY,CA (Metropolitan Area)
2021,Denver,Washington,201.47,CO,DC (Metropolitan Area)
2021,Denver,Washington,174.94,CO,DC (Metropolitan Area)
2021,Denver,Washington,234.96,CO,DC (Metropolitan Area)
2021,Denver,New York City,294.26,CO,NY (Metropolitan Area)
2021,Denver,New York City,302.89,CO,NY (Metropolitan Area)
2021,Denver,New York City,233.73,CO,NY (Metropolitan Area)
2021,Denver,New York City,245.76,CO,NY (Metropolitan Area)
2021,Denver,New York City,251.89,CO,NY (Metropolitan Area)
2021,Denver,New York City,279.05,CO,NY (Metropolitan Area)
2021,Denver,San Francisco,153.57,CO,CA (Metropolitan Area)
2021,Denver,San Francisco,186.15,CO,CA (Metropolitan Area)
2021,Denver,San Francisco,205.14,CO,CA (Metropolitan Area)
2021,Denver,Los Angeles,142.75,CO,CA (Metropolitan Area)
2021,Denver,Los Angeles,133.12,CO,CA (Metropolitan Area)
2021,Denver,Los Angeles,112.51,CO,CA (Metropolitan Area)
2021,Denver,Los Angeles,130.66,CO,CA (Metropolitan Area)
2021,Denver,Los Angeles,133.59,CO,CA (Metropolitan Area)
2021,Atlanta,Boston,204.01,GA (Metropolitan Area),MA (Metropolitan Area)
2021,Atlanta,Boston,249.63,GA (Metropolitan Area),MA (Metropolitan Area)
2021,Atlanta,Boston,220.73,GA (Metropolitan Area),MA (Metropolitan Area)
2021,Atlanta,Washington,150.03,GA (Metropolitan Area),DC (Metropolitan Area)
2021,Atlanta,Washington,163.76,GA (Metropolitan Area),DC (Metropolitan Area)
2021,Atlanta,Washington,153.95,GA (Metropolitan Area),DC (Metropolitan Area)
2021,Atlanta,Chicago,134.27,GA (Metropolitan Area),IL
2021,Atlanta,Chicago,138.01,GA (Metropolitan Area),IL
2021,Atlanta,Columbus,155.51,GA (Metropolitan Area),OH
